Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
43,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-344,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1,1.7,30,43,76,0.09,0,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-142,2000,22,16,1563,17.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,43,7,0,0,0,0,0,0.01,0.03,0.03,0.01,0.03,Matches,d810c13b
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-029,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,0,0,0.1,10,31,12,0,0,0,0,0,0,0,0.01,0,0.01,Matches,a8c0acb7
46,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-080,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.4,2.6,0.9,3.5,2,13,55,0.12,0,0.12,0,0,0.39,0.1,0.5,0.3,0.4,Matches,462475ed
47,Ludovic Ajorque,fr FRA,FWMF,Mainz 05,de Bundesliga,29-080,1994,16,15,1192,13.2,6,1,7,6,0,0,4,0,4.5,4.5,1.7,6.2,5,30,82,0.45,0.08,0.53,0.45,0.53,0.34,0.13,0.47,0.34,0.47,Matches,462475ed
48,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-301,1995,28,23,2231,24.8,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,112,17,0,0.04,0.04,0,0.04,0.05,0.02,0.07,0.05,0.07,Matches,89ac64a6
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-087,1995,25,21,1811,20.1,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.2,25,139,30,0.05,0,0.05,0.05,0.05,0.08,0.03,0.11,0.08,0.11,Matches,eaeca114
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-151,1997,26,26,2189,24.3,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,58,58,83,0.04,0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches,06efa9dc
51,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,20-067,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Matches,733aab44
52,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,21-080,2002,9,4,325,3.6,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,7,15,31,0,0,0,0,0,0.07,0.08,0.15,0.07,0.15,Matches,b625b241
53,Paul Akouokou,ci CIV,MFDF,Betis,es La Liga,25-147,1997,10,3,420,4.7,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,8,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,31f5b89b
54,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-217,1992,21,13,1103,12.3,1,0,1,1,0,0,8,2,0.7,0.7,0.7,1.4,16,34,32,0.08,0,0.08,0.08,0.08,0.06,0.05,0.11,0.06,0.11,Matches,fdf4b948
55,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-027,1995,27,20,1881,20.9,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,84,23,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches,6ec6fde0
56,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-326,1992,21,19,1658,18.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.8,15,63,60,0.05,0.16,0.22,0.05,0.22,0.04,0.06,0.1,0.04,0.1,Matches,05439de2
57,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,19-001,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,455c26a4
58,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-117,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0,0,0.1,0.1,2,9,6,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches,99ea2ddd
