Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
653,Manuel De Luca,it ITA,FWMF,Sampdoria,it Serie A,24-303,1998,2,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches,60e3603d
654,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,28-357,1994,27,21,1683,18.7,2,5,7,2,0,0,4,0,1.6,1.6,5,6.5,49,162,62,0.11,0.27,0.37,0.11,0.37,0.08,0.27,0.35,0.08,0.35,Matches,162efffd
655,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,30-208,1992,17,11,1043,11.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,16,50,40,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches,ae4e2852
656,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,34-358,1988,12,6,612,6.8,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,17,30,17,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches,e74f0e59
657,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,24-345,1998,20,19,1665,18.5,0,1,1,0,0,0,2,0,0,0,1.1,1.1,37,88,85,0,0.05,0.05,0,0.05,0,0.06,0.06,0,0.06,Matches,5fdcb075
658,Koni De Winter,be BEL,DF,Empoli,it Serie A,20-338,2002,14,12,1024,11.4,0,0,0,0,0,0,3,0,0,0,0.2,0.2,2,22,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,f4797849
659,Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,31-333,1991,24,13,1094,12.2,2,1,3,2,0,0,3,0,2.9,2.9,0.5,3.4,10,10,73,0.16,0.08,0.25,0.16,0.25,0.24,0.04,0.28,0.24,0.28,Matches,854ee61a
660,Duccio Degl'Innocenti,it ITA,MF,Empoli,it Serie A,20-018,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0e0d6c53
661,Brecht Dejaegere,be BEL,MF,Toulouse,fr Ligue 1,31-352,1991,28,24,1719,19.1,4,1,5,4,0,0,5,0,2.6,2.6,1.6,4.3,35,94,85,0.21,0.05,0.26,0.21,0.26,0.14,0.09,0.22,0.14,0.22,Matches,4ca4f601
662,Romain Del Castillo,fr FRA,MFFW,Brest,fr Ligue 1,27-048,1996,24,14,1236,13.7,6,6,12,1,5,5,2,0,6,2.1,3.9,6,42,69,108,0.44,0.44,0.87,0.07,0.51,0.44,0.29,0.73,0.15,0.44,Matches,0be95d34
663,Alberto Del Moral,es ESP,MF,Villarreal,es La Liga,22-300,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,84a85b48
664,Thomas Delaine,fr FRA,DFMF,Strasbourg,fr Ligue 1,31-053,1992,16,12,1024,11.4,0,2,2,0,0,0,3,0,0.4,0.4,1.4,1.8,36,21,88,0,0.18,0.18,0,0.18,0.04,0.12,0.16,0.04,0.16,Matches,8332db56
665,Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,31-255,1991,8,2,309,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.2,1,7,3,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches,fe641c1a
666,Thomas Delaney,dk DEN,MF,Hoffenheim,de Bundesliga,31-255,1991,6,4,298,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,14,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,fe641c1a
667,Sacha Delaye,fr FRA,FWMF,Montpellier,fr Ligue 1,21-023,2002,3,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,1,1,0,4.5,0,4.5,4.5,4.5,0.31,0,0.31,0.31,0.31,Matches,e4448c8c
668,Fran Delgado,es ESP,DF,Betis,es La Liga,21-309,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Matches,e7d2a50b
669,Andy Delort,dz ALG,FW,Nice,fr Ligue 1,31-219,1991,14,9,781,8.7,6,1,7,3,3,3,0,0,5.4,3,1.4,4.4,7,19,48,0.69,0.12,0.81,0.35,0.46,0.62,0.16,0.78,0.35,0.51,Matches,d33c706e
670,Andy Delort,dz ALG,FW,Nantes,fr Ligue 1,31-219,1991,11,5,465,5.2,0,0,0,0,0,0,0,0,2.5,2.5,0.7,3.3,2,9,44,0,0,0,0,0,0.49,0.14,0.64,0.49,0.64,Matches,d33c706e
671,Karamoko Dembele,sct SCO,FWMF,Brest,fr Ligue 1,20-083,2003,14,0,163,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,4,25,0,0,0,0,0,0.13,0.09,0.21,0.13,0.21,Matches,7304f3b1
672,Moussa Dembélé,fr FRA,FWMF,Lyon,fr Ligue 1,26-308,1996,23,8,877,9.7,3,0,3,3,0,0,1,0,3.8,3.8,0.3,4.1,10,23,66,0.31,0,0.31,0.31,0.31,0.39,0.03,0.42,0.39,0.42,Matches,e7986081
673,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,26-001,1997,21,14,1186,13.2,5,5,10,5,0,0,4,0,3.3,3.3,3.7,7,102,64,165,0.38,0.38,0.76,0.38,0.76,0.25,0.28,0.53,0.25,0.53,Matches,b19db005
674,Siriki Dembélé,ci CIV,FWMF,Bournemouth,eng Premier League,26-251,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0,0,0,0,0,0.15,0.25,0.41,0.15,0.41,Matches,11f54bd5
675,Siriki Dembélé,ci CIV,MF,Auxerre,fr Ligue 1,26-251,1996,9,4,312,3.5,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,9,6,28,0,0,0,0,0,0.06,0.19,0.25,0.06,0.25,Matches,11f54bd5
676,Merih Demiral,tr TUR,DF,Atalanta,it Serie A,25-072,1998,27,14,1529,17,1,0,1,1,0,0,5,0,0.7,0.7,0.5,1.2,3,26,4,0.06,0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches,e3cceee6
677,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,29-317,1993,24,16,1454,16.2,3,3,6,3,0,0,4,0,2,2,2.7,4.7,21,81,20,0.19,0.19,0.37,0.19,0.37,0.12,0.17,0.29,0.12,0.29,Matches,54b4dc4e
678,Ermedin Demirović,ba BIH,FWMF,Augsburg,de Bundesliga,25-052,1998,28,28,2193,24.4,8,4,12,7,1,1,6,1,7.3,6.5,3.5,10.1,23,43,117,0.33,0.16,0.49,0.29,0.45,0.3,0.15,0.44,0.27,0.41,Matches,ed79b7d3
679,Diego Demme,de GER,MF,Napoli,it Serie A,31-176,1991,6,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,dc3fa3b5
680,Sepp van den Berg,nl NED,DF,Schalke 04,de Bundesliga,21-147,2001,7,6,516,5.7,1,0,1,1,0,0,2,0,0.6,0.6,0.1,0.7,1,10,3,0.17,0,0.17,0.17,0.17,0.11,0.02,0.13,0.11,0.13,Matches,7bf9400b
681,Branco van den Boomen,nl NED,MF,Toulouse,fr Ligue 1,27-299,1995,33,31,2767,30.7,5,8,13,1,4,4,6,0,5.9,2.8,7.6,10.4,42,298,98,0.16,0.26,0.42,0.03,0.29,0.19,0.25,0.44,0.09,0.34,Matches,99d660b2
682,Leander Dendoncker,be BEL,MF,Aston Villa,eng Premier League,28-031,1995,19,7,693,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,1,17,2,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07,Matches,5a7301ae
683,Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,28-031,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,1,6,3,0,0,0,0,0,0.27,0.02,0.29,0.27,0.29,Matches,5a7301ae
684,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,eng Premier League,25-182,1997,18,6,701,7.8,2,2,4,2,0,0,3,0,1.8,1.8,0.6,2.4,23,16,61,0.26,0.26,0.51,0.26,0.51,0.23,0.07,0.31,0.23,0.31,Matches,2c44a35d
685,Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,26-022,1997,28,21,1902,21.1,2,2,4,2,0,0,5,0,1.5,1.5,1.1,2.6,26,62,66,0.09,0.09,0.19,0.09,0.19,0.07,0.05,0.12,0.07,0.12,Matches,d97f2e8d
686,Fabio Depaoli,it ITA,DFMF,Sampdoria,it Serie A,26-022,1997,3,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,2,10,6,0,0,0,0,0,0.12,0.26,0.38,0.12,0.38,Matches,d97f2e8d
687,Kastriot Dermaku,al ALB,DF,Lecce,it Serie A,31-121,1992,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2990c466
688,Halil Dervişoğlu,tr TUR,MF,Brentford,eng Premier League,23-159,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.31,0.31,0.31,Matches,9d8cf204
689,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,26-325,1996,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,477e50ce
690,Mikkel Desler,dk DEN,DF,Toulouse,fr Ligue 1,28-086,1995,25,24,2103,23.4,1,2,3,1,0,0,5,1,0.8,0.8,1.7,2.5,56,124,118,0.04,0.09,0.13,0.04,0.13,0.04,0.07,0.11,0.04,0.11,Matches,1d5c96f8
691,Cyriel Dessers,ng NGA,FW,Cremonese,it Serie A,28-159,1994,26,19,1587,17.6,6,1,7,6,0,1,3,0,7.1,6.4,1.6,8,21,27,110,0.34,0.06,0.4,0.34,0.4,0.4,0.09,0.5,0.36,0.45,Matches,dcb38abe
692,Sergiño Dest,us USA,DF,Milan,it Serie A,22-194,2000,8,2,329,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,11,14,12,0,0,0,0,0,0.08,0.09,0.17,0.08,0.17,Matches,5976f83e
693,Mattia Destro,it ITA,FW,Empoli,it Serie A,32-057,1991,15,6,520,5.8,1,0,1,1,0,0,3,0,1.4,1.4,0.4,1.8,4,4,18,0.17,0,0.17,0.17,0.17,0.24,0.07,0.31,0.24,0.31,Matches,d7d32194
694,Gerard Deulofeu,es ESP,FW,Udinese,it Serie A,29-064,1994,16,15,1211,13.5,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72,82,118,0.15,0.45,0.59,0.15,0.59,0.38,0.33,0.7,0.38,0.7,Matches,39583cfd
695,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,eng Premier League,24-252,1998,30,27,2236,24.8,2,2,4,2,0,0,5,1,2.3,2.3,3.1,5.5,64,129,88,0.08,0.08,0.16,0.08,0.16,0.09,0.13,0.22,0.09,0.22,Matches,5c74c0f5
696,Samuel Di Carmine,it ITA,FWMF,Cremonese,it Serie A,34-229,1988,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,2,0,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches,ef94dc2f
697,Federico Di Francesco,it ITA,FWMF,Lecce,it Serie A,28-336,1994,34,22,1914,21.3,2,2,4,2,0,0,5,0,3.3,3.3,2.7,6,50,59,169,0.09,0.09,0.19,0.09,0.19,0.15,0.13,0.28,0.15,0.28,Matches,1fca9171
698,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,25-293,1997,34,34,3060,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0,Matches,4e0c8d66
699,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,29-285,1993,35,34,3077,34.2,2,4,6,2,0,0,2,0,2.5,2.5,4.6,7.1,70,248,166,0.06,0.12,0.18,0.06,0.18,0.07,0.13,0.21,0.07,0.21,Matches,230a2fac
700,Ángel Di María,ar ARG,FWMF,Juventus,it Serie A,35-091,1988,23,14,1239,13.8,4,4,8,3,1,1,1,1,2.7,1.9,4.2,6.1,50,84,83,0.29,0.29,0.58,0.22,0.51,0.2,0.31,0.5,0.14,0.45,Matches,19cda00b
701,Boulaye Dia,sn SEN,FWMF,Salernitana,it Serie A,26-181,1996,32,26,2428,27,15,6,21,14,1,1,3,0,8.2,7.4,3.1,10.5,47,48,137,0.56,0.22,0.78,0.52,0.74,0.3,0.11,0.42,0.28,0.39,Matches,244bc2c8
702,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-313,1999,31,31,2527,28.1,9,8,17,9,0,1,3,0,10.4,9.6,8.2,17.8,120,97,247,0.32,0.28,0.61,0.32,0.61,0.37,0.29,0.66,0.34,0.63,Matches,aeed5c06
703,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-148,1996,26,25,2176,24.2,3,0,3,3,0,0,7,1,2.7,2.7,0.3,3,12,70,8,0.12,0,0.12,0.12,0.12,0.11,0.01,0.12,0.11,0.12,Matches,d2110326
704,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-130,2001,30,26,2383,26.5,2,0,2,2,0,0,6,0,1.3,1.3,0.6,1.9,39,161,66,0.08,0,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches,1bfb6fef
705,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-197,2003,3,1,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,2,6,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches,d8c19a60
706,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,27-012,1996,7,5,474,5.3,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,23,2,0.19,0,0.19,0.19,0.19,0.07,0.02,0.09,0.07,0.09,Matches,fc62f087
707,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-326,2001,6,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,fb55f63a
708,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-332,1995,34,29,2609,29,20,1,21,17,3,4,4,1,16.3,13,3.1,16.1,33,37,179,0.69,0.03,0.72,0.59,0.62,0.56,0.11,0.67,0.45,0.55,Matches,6605d143
709,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-069,1999,18,11,819,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,28,6,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Matches,11ff3d56
710,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-107,1997,27,24,2100,23.3,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,34,69,35,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,b3244eeb
711,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-324,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches,80211dc5
712,Mouhamadou Diarra,sn SEN,MFFW,Strasbourg,fr Ligue 1,19-133,2004,26,15,1364,15.2,2,2,4,2,0,0,3,0,1.6,1.6,1.7,3.3,58,51,71,0.13,0.13,0.26,0.13,0.26,0.1,0.11,0.22,0.1,0.22,Matches,6d0fe035
713,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-187,2000,22,11,1135,12.6,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,21,47,42,0,0.08,0.08,0,0.08,0.01,0.05,0.07,0.01,0.07,Matches,698f11e3
714,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-158,1998,28,14,1066,11.8,2,0,2,2,0,0,1,0,2.2,2.2,1.7,4,40,33,85,0.17,0,0.17,0.17,0.17,0.19,0.15,0.33,0.19,0.33,Matches,29939a1d
715,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,25-053,1998,5,1,98,1.1,0,0,0,0,0,0,2,0,0,0,0.5,0.5,1,3,1,0,0,0,0,0,0,0.45,0.45,0,0.45,Matches,d61759ec
716,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,26-002,1997,26,22,1998,22.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14,98,2,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches,31c69ef1
717,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-080,1999,29,22,2033,22.6,4,2,6,4,0,0,3,0,4.6,4.6,3.1,7.7,80,87,223,0.18,0.09,0.27,0.18,0.27,0.2,0.14,0.34,0.2,0.34,Matches,8104e41e
718,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-328,1993,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f41a69e6
719,Brahim Díaz,es ESP,MFFW,Milan,it Serie A,23-286,1999,30,24,1706,19,5,5,10,5,0,0,3,0,5.4,5.4,4.5,9.9,75,112,97,0.26,0.26,0.53,0.26,0.53,0.28,0.24,0.52,0.28,0.52,Matches,407feb71
720,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-123,1997,15,10,891,9.9,4,2,6,4,0,0,2,0,2.3,2.3,1.4,3.8,31,43,104,0.4,0.2,0.61,0.4,0.61,0.23,0.15,0.38,0.23,0.38,Matches,4a1a9578
721,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-170,2004,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,d82a310a
722,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,23-054,2000,10,1,194,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5,1,23,0.46,0,0.46,0.46,0.46,0.71,0.04,0.76,0.71,0.76,Matches,40774c6b
723,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23-054,2000,14,9,740,8.2,3,0,3,2,1,1,1,0,4.9,4.1,0.6,4.7,4,7,47,0.36,0,0.36,0.24,0.24,0.59,0.08,0.67,0.49,0.57,Matches,40774c6b
724,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-121,1994,33,31,2818,31.3,2,1,3,2,0,0,3,0,1.6,1.6,1.2,2.8,9,87,14,0.06,0.03,0.1,0.06,0.1,0.05,0.04,0.09,0.05,0.09,Matches,ac861941
725,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-286,1998,11,4,395,4.4,1,0,1,1,0,0,1,0,2.5,2.5,0.3,2.8,8,5,22,0.23,0,0.23,0.23,0.23,0.57,0.07,0.64,0.57,0.64,Matches,8779ddf8
726,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-300,1993,26,16,1360,15.1,1,0,1,1,0,0,4,0,0.3,0.3,1.8,2.1,25,52,84,0.07,0,0.07,0.07,0.07,0.02,0.12,0.14,0.02,0.14,Matches,1b84dbe1
727,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-187,1997,31,25,1983,22,4,2,6,4,0,0,0,0,2.9,2.9,6.5,9.3,42,87,185,0.18,0.09,0.27,0.18,0.27,0.13,0.29,0.42,0.13,0.42,Matches,970b8574
728,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-142,1993,33,33,2970,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,fc70e345
729,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-176,2000,17,10,1044,11.6,2,1,3,2,0,0,3,0,2.9,2.9,1.4,4.3,36,43,39,0.17,0.09,0.26,0.17,0.26,0.25,0.12,0.37,0.25,0.37,Matches,95bb6ddc
730,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-088,1991,8,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1,6,4,0,0,0,0,0,0.16,0.23,0.39,0.16,0.39,Matches,92b56413
731,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-154,2001,16,0,226,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1,4,6,22,0,0,0,0,0,0.17,0.24,0.42,0.17,0.42,Matches,4ccd8957
732,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22-037,2001,23,21,1867,20.7,0,0,0,0,0,0,2,1,0.8,0.8,0.1,1,8,105,8,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches,6de23ab0
733,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-147,1992,8,5,437,4.9,1,0,1,1,0,0,1,0,1.7,1.7,0.3,2.1,13,9,48,0.21,0,0.21,0.21,0.21,0.35,0.07,0.42,0.35,0.42,Matches,4be0b467
734,Edan Diop,fr FRA,DFMF,Monaco,fr Ligue 1,18-261,2004,6,1,185,2.1,1,0,1,1,0,0,0,0,1.1,1.1,0.5,1.7,6,15,26,0.49,0,0.49,0.49,0.49,0.54,0.26,0.81,0.54,0.81,Matches,37143438
735,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-127,1997,23,19,1832,20.4,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,11,66,3,0.05,0,0.05,0.05,0.05,0.01,0,0.02,0.01,0.02,Matches,a712ca2b
736,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-341,2000,19,12,1031,11.5,1,4,5,1,0,0,1,0,1.5,1.5,1.4,2.9,45,52,73,0.09,0.35,0.44,0.09,0.44,0.13,0.13,0.25,0.13,0.25,Matches,1.91E+35
737,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-341,2000,1,1,65,0.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,5,2,10,1.38,0,1.38,1.38,1.38,1.4,0.11,1.51,1.4,1.51,Matches,1.91E+35
738,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-181,1999,28,28,2520,28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,eedea60b
739,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,25-066,1998,35,34,3060,34,3,3,6,3,0,1,3,0,3.4,2.6,1.2,3.8,60,185,16,0.09,0.09,0.18,0.09,0.18,0.1,0.03,0.13,0.08,0.11,Matches,ad82197c
740,Malcom Abdulai Ares Djalo,es ESP,FWMF,Athletic Club,es La Liga,21-216,2001,5,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,2,13,0,0,0,0,0,0.18,0.27,0.45,0.18,0.45,Matches,a461f098
741,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,23-037,2000,25,24,2017,22.4,2,0,2,2,0,0,7,0,1.3,1.3,0.1,1.4,9,70,4,0.09,0,0.09,0.09,0.09,0.06,0.01,0.06,0.06,0.06,Matches,b2336681
742,Djené,tg TOG,DF,Getafe,es La Liga,31-136,1991,30,30,2570,28.6,0,1,1,0,0,0,8,1,0.5,0.5,0.6,1.2,7,66,16,0,0.04,0.04,0,0.04,0.02,0.02,0.04,0.02,0.04,Matches,a4971d84
743,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-335,1998,16,7,710,7.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,27,19,39,0,0.25,0.25,0,0.25,0.02,0.06,0.09,0.02,0.09,Matches,254147d4
744,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-167,1992,32,25,2311,25.7,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.1,11,82,13,0.04,0,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04,Matches,933d3b51
745,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-280,1994,30,30,2606,29,1,2,3,1,0,0,8,0,1.4,1.4,0.7,2.1,4,136,4,0.03,0.07,0.1,0.03,0.1,0.05,0.02,0.07,0.05,0.07,Matches,43e7a164
746,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-086,1993,21,17,1527,17,0,1,1,0,0,0,3,0,0.5,0.5,0.2,0.6,6,40,7,0,0.06,0.06,0,0.06,0.03,0.01,0.04,0.03,0.04,Matches,6eee05f1
747,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-224,1999,6,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,2,12,0,0,0,0,0,0.09,0.01,0.1,0.09,0.1,Matches,627b570a
748,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-112,1992,12,10,999,11.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ac295d9e
749,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,21-058,2002,3,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1bd5bdc4
750,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-186,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,Matches,733f1a7d
751,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-334,1998,31,28,2265,25.2,5,4,9,5,0,0,3,0,6.6,6.6,3.1,9.7,74,63,163,0.2,0.16,0.36,0.2,0.36,0.26,0.12,0.39,0.26,0.39,Matches,d01bbb6f
752,Dodô,br BRA,DF,Fiorentina,it Serie A,24-180,1998,31,27,2231,24.8,1,3,4,1,0,0,5,1,0.7,0.7,2.1,2.8,69,138,100,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.11,0.03,0.11,Matches,b5f7d10b
753,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-320,1998,23,23,2036,22.6,4,1,5,4,0,0,0,0,1.5,1.5,0.4,1.9,15,68,20,0.18,0.04,0.22,0.18,0.22,0.07,0.02,0.08,0.07,0.08,Matches,f67c9d29
754,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-120,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,16,20,57,0.13,0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,Matches,d557d734
755,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-120,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,d557d734
756,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-363,2002,22,15,1354,15,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3,41,27,61,0.13,0.2,0.33,0.13,0.33,0.12,0.08,0.2,0.12,0.2,Matches,2f69d881
757,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-354,2002,26,10,1054,11.7,5,2,7,5,0,0,0,0,2.5,2.5,4.5,7,87,60,136,0.43,0.17,0.6,0.43,0.6,0.21,0.39,0.6,0.21,0.6,Matches,fffea3e5
